id,song_name,artist_name,popularity,release_date,genres,danceability,energy,valence,tempo,loudness,duration_ms,key,mode
6RyuoOJXNzlVWpfC5xQyeI,Alocao (With Bad Gyal),Omar Montes,58,2019-10-24,"flamenco urbano, urbano espanol",0.673,0.752,0.699,178.005,-4.705,209320,11,0
4ZjtBYFciJkcj3K741Ij1d,Aprendiendo El Sexo,Bad Gyal,47,2020-07-31,"neoperreo, rap catala, rap latina, trap catala, urbano espanol, urbano latino",0.794,0.807,0.354,98.041,-4.236,147440,4,0
53vCCDv42MGxUmgWUbuhuP,Mercadona (Prod. Fakeguido),Bad Gyal,52,2016-11-11,"neoperreo, rap catala, rap latina, trap catala, urbano espanol, urbano latino",0.544,0.424,0.92,118.937,-7.883,203000,7,1
0k5kd8IQULAW4hJBwndWs5,Jacaranda,Bad Gyal,50,2017-05-26,"neoperreo, rap catala, rap latina, trap catala, urbano espanol, urbano latino",0.519,0.689,0.515,98.412,-3.353,184800,10,1
0DbGnMSAX2URJFhRVi8Sng,Mas Raro - Prod. Cadenza,Bad Gyal,51,2018-07-27,"neoperreo, rap catala, rap latina, trap catala, urbano espanol, urbano latino",0.67,0.652,0.545,93.589,-7.994,165957,0,1
7AkGPjtb6YmEQLzYVjBHmC,Candela - Prod. Dubbel Dutch,Bad Gyal,45,2018-02-21,"neoperreo, rap catala, rap latina, trap catala, urbano espanol, urbano latino",0.699,0.817,0.476,99.926,-4.996,196754,0,0
04LT2LwW5cMrIuq4Kvn1rM,Despacio (Prod. AC3),Bad Gyal,47,2016-11-11,"neoperreo, rap catala, rap latina, trap catala, urbano espanol, urbano latino",0.608,0.314,0.232,180.025,-15.461,159973,0,1
7Ib4HxrkMe8iHweXxMsev5,Open The Door,Bad Gyal,43,2018-11-02,"neoperreo, rap catala, rap latina, trap catala, urbano espanol, urbano latino",0.735,0.846,0.478,99.938,-4.843,223600,8,1
7tcMCTr0GjE5ZagYDQADE6,Unknown Feeling - Prod. Fakeguido,Bad Gyal,33,2018-12-28,"neoperreo, rap catala, rap latina, trap catala, urbano espanol, urbano latino",0.766,0.439,0.496,100.046,-9.963,223206,0,1
0s0Ots3V2FtJs90JjA9SVq,Turn Me On (Prod. Faberoa),Bad Gyal,48,2016-11-11,"neoperreo, rap catala, rap latina, trap catala, urbano espanol, urbano latino",0.673,0.6,0.409,86.926,-8.193,177000,6,0
31E9oJvrVjB1iaf3HsdsGc,Smthin Like This (Prod. Plata),Bad Gyal,37,2016-11-11,"neoperreo, rap catala, rap latina, trap catala, urbano espanol, urbano latino",0.722,0.693,0.679,137.956,-8.225,209000,9,1
3opJjMxkAA5KX8CPF2vzo5,Tu Moto - Prod. D33J,Bad Gyal,38,2018-02-21,"neoperreo, rap catala, rap latina, trap catala, urbano espanol, urbano latino",0.733,0.671,0.197,95.01,-6.44,195257,8,0
0haDTLHPo1R0zy9Q0VadDe,Por Ti,Florentino,31,2018-03-23,"latin tek, neoperreo",0.687,0.794,0.258,93.971,-5.353,241301,4,0
25RN6owXD29BH7fu2vlz3q,Yo Sigo Iual - Prod. Fakeguido & el Guincho,Bad Gyal,46,2018-02-21,"neoperreo, rap catala, rap latina, trap catala, urbano espanol, urbano latino",0.856,0.482,0.513,108.034,-7.876,189243,9,0
06gx5uBszhnjK3NzhSY5xC,Dinero (Prod. Fakeguido),Bad Gyal,39,2016-11-11,"neoperreo, rap catala, rap latina, trap catala, urbano espanol, urbano latino",0.534,0.936,0.631,171.921,-7.083,238000,7,1
2xy6F8DGt6Yqq74HAx5WHB,Nicest Cocky,Bad Gyal,29,2017-06-16,"neoperreo, rap catala, rap latina, trap catala, urbano espanol, urbano latino",0.582,0.706,0.407,74.991,-7.508,249600,2,0
3PLcsZsfC1jt2E1zsKIE8A,Internationally - Prod. Jam City & Dubbel Dutch,Bad Gyal,42,2018-02-21,"neoperreo, rap catala, rap latina, trap catala, urbano espanol, urbano latino",0.805,0.538,0.678,105.029,-5.852,194391,2,1
0VfPpXQUmi1i6mUOac5VLi,D Way You Do Me (Prod. Plata),Bad Gyal,36,2016-11-11,"neoperreo, rap catala, rap latina, trap catala, urbano espanol, urbano latino",0.479,0.939,0.0592,140.941,-4.871,290000,6,0
2I0kmY3t6qPQFJbp6EdGg7,Realize - Prod. Paul Marmota & Fakeguido,Bad Gyal,33,2018-02-21,"neoperreo, rap catala, rap latina, trap catala, urbano espanol, urbano latino",0.534,0.501,0.493,126.429,-8.335,238148,9,0
4WozolbecyvEysgxoAOgKX,Tra - Prod. Dubbel Dutch,Bad Gyal,42,2018-02-21,"neoperreo, rap catala, rap latina, trap catala, urbano espanol, urbano latino",0.724,0.83,0.44,97.046,-6.063,225629,10,1
30t9smohiwcsWePn1V18Ce,Zorra - Remix,Bad Gyal,48,2021-01-21,"neoperreo, rap catala, rap latina, trap catala, urbano espanol, urbano latino",0.499,0.762,0.512,76.995,-4.489,216533,11,1
0NipDzamAtvro0HMcZD5DK,44,Bad Gyal,52,2021-03-18,"neoperreo, rap catala, rap latina, trap catala, urbano espanol, urbano latino",0.801,0.76,0.508,102.061,-5.948,185467,5,1
5KBWOjaGZvd17qijS6geEZ,Gasto,Bad Gyal,45,2021-03-18,"neoperreo, rap catala, rap latina, trap catala, urbano espanol, urbano latino",0.842,0.747,0.543,100.027,-6.022,128080,5,0
3zNzqaks2XEqP8ZnXIfjzH,Iconic,Bad Gyal,44,2021-03-18,"neoperreo, rap catala, rap latina, trap catala, urbano espanol, urbano latino",0.93,0.493,0.505,106.051,-8.034,134507,0,1
0nfFdjswV0F5XGehivzBCW,Judas,Bad Gyal,42,2021-03-18,"neoperreo, rap catala, rap latina, trap catala, urbano espanol, urbano latino",0.76,0.694,0.717,94.957,-6.045,145973,1,1
6yAMdceZ8VGWD6kTPCkZ26,"Trust - Prod. Faberoa, Fakeguido & el Guincho",Bad Gyal,36,2018-02-21,"neoperreo, rap catala, rap latina, trap catala, urbano espanol, urbano latino",0.782,0.638,0.181,97.004,-7.122,223918,6,1
2ejYdJuOtzKnogrqq2eIxS,Commotion,LOWLIGHT,40,2017-09-22,urbano espanol,0.659,0.656,0.853,106.011,-6.983,221205,7,0
7aZ30GAOJ2nYrpnsknNNbg,Pussy,Bad Gyal,39,2021-03-18,"neoperreo, rap catala, rap latina, trap catala, urbano espanol, urbano latino",0.701,0.67,0.569,93.889,-6.453,137253,11,0
2WPFpC4oQxjBpSgsCoQrCf,Su Payita (Gramos),Bad Gyal,57,2021-12-02,"neoperreo, rap catala, rap latina, trap catala, urbano espanol, urbano latino",0.643,0.785,0.217,191.898,-3.95,140587,2,1
0kaF3YZZ4cQBUsIHitNnbj,Slim Thick,Bad Gyal,48,2021-12-09,"neoperreo, rap catala, rap latina, trap catala, urbano espanol, urbano latino",0.696,0.763,0.809,91.115,-4.146,144013,5,0
79vRgeWcbeXb4EHIgmKexS,Candela,Bad Gyal,30,2018-03-20,"neoperreo, rap catala, rap latina, trap catala, urbano espanol, urbano latino",0.699,0.817,0.476,99.926,-4.996,196754,0,0
4wZEg3KkldA8QywnPVHJFa,Blink,Bad Gyal,28,2018-02-02,"neoperreo, rap catala, rap latina, trap catala, urbano espanol, urbano latino",0.742,0.907,0.487,93.994,-3.01,270507,8,1
4EwlvJmJjG3FkOPUbhQ3wR,Kiyaera,Soto Asa,46,2020-12-18,urbano espanol,0.757,0.767,0.707,184.018,-3.978,168472,1,1
3szqC0lxrJdhn3eW6FfFfo,Chulo,Bad Gyal,59,2023-02-10,"neoperreo, rap catala, rap latina, trap catala, urbano espanol, urbano latino",0.836,0.8,0.543,97.054,-2.822,120413,5,0
2nUFovoAPOXcpqVu2BsAhJ,Bom Bom,Kafu Banton,41,2020-05-15,panamanian pop,0.882,0.766,0.532,97.009,-5.1,203707,1,1
5YfGs3ieDe7tYnI0yOajp9,SexeSexy,Mushkaa,51,2024-03-28,,0.727,0.784,0.418,100.053,-5.555,232800,1,1
30hti8rsvWYTcrHAPRAlHi,Mi Lova,Bad Gyal,52,2024-01-26,"neoperreo, rap catala, rap latina, trap catala, urbano espanol, urbano latino",0.745,0.825,0.676,94.065,-3.821,219773,8,1
3vy66ZlrCcrCR74ix1E5vb,Give Me,Bad Gyal,49,2024-01-26,"neoperreo, rap catala, rap latina, trap catala, urbano espanol, urbano latino",0.846,0.785,0.426,105.01,-4.516,165587,4,0
5HnWWoY9gAIOxL2CMq5Sz1,Bota Niña,Bad Gyal,52,2024-01-26,"neoperreo, rap catala, rap latina, trap catala, urbano espanol, urbano latino",0.684,0.885,0.654,173.846,-2.882,209693,0,1
0uWPaGuYNufHxNgqummf9T,La Que No Se Mueva,Bad Gyal,51,2024-01-26,"neoperreo, rap catala, rap latina, trap catala, urbano espanol, urbano latino",0.719,0.706,0.685,88.161,-3.818,207173,6,1
1bmIRafMOhUKsnZE7haw2u,Perdió Este Culo,Bad Gyal,64,2024-01-26,"neoperreo, rap catala, rap latina, trap catala, urbano espanol, urbano latino",0.621,0.859,0.445,92.929,-3.228,159253,2,1
6CvtLD7pB6PhWVEafimIQf,Sin Carné,Bad Gyal,49,2024-01-26,"neoperreo, rap catala, rap latina, trap catala, urbano espanol, urbano latino",0.831,0.686,0.621,95.995,-4.818,117280,6,0
2fgogq2XXlKMm9p6m3akHH,Bad Boy,Bad Gyal,55,2024-01-26,"neoperreo, rap catala, rap latina, trap catala, urbano espanol, urbano latino",0.793,0.883,0.728,172.02,-2.631,205707,11,0
4T91Eu9HEFOmE9Tkv67nLT,Skit,Bad Gyal,52,2024-01-26,"neoperreo, rap catala, rap latina, trap catala, urbano espanol, urbano latino",0.865,0.805,0.903,117.923,-4.408,92493,11,1
1NCF4UUsuT6Xzw2Zxd43PJ,Chulo pt.2,Bad Gyal,69,2024-01-26,"neoperreo, rap catala, rap latina, trap catala, urbano espanol, urbano latino",0.849,0.885,0.522,96.971,-2.447,218933,3,0
5CH9n4wm1haCpd65zA9VPw,Así Soy,Bad Gyal,49,2024-01-26,"neoperreo, rap catala, rap latina, trap catala, urbano espanol, urbano latino",0.825,0.671,0.518,104.957,-6.603,194680,11,1
4y3pBBARAmYDi1GCwO0o41,Sexy,Bad Gyal,47,2024-01-26,"neoperreo, rap catala, rap latina, trap catala, urbano espanol, urbano latino",0.789,0.679,0.769,126.996,-9.262,159187,10,0
3lt11YYMKgELxR0aTxSLnO,Pop Pop,Bad Gyal,44,2024-01-26,"neoperreo, rap catala, rap latina, trap catala, urbano espanol, urbano latino",0.691,0.926,0.652,188.11,-5.164,133733,2,0
6E5iXFRORBnSpVtN4DHYBj,Otra Vez Más,Bad Gyal,57,2024-01-26,"neoperreo, rap catala, rap latina, trap catala, urbano espanol, urbano latino",0.73,0.746,0.365,96.976,-5.156,153107,11,0
1S3SAFqLBWk3HaR5UyXp43,Guay,Ozuna,69,2024-04-18,"puerto rican pop, reggaeton, trap latino, urbano latino",0.88,0.766,0.594,96.037,-2.906,210788,1,0
6GgpoeDugrrXl06NIsE1Bo,GHETTO PRINCESS,Ovy On The Drums,47,2023-10-05,"colombian pop, reggaeton, reggaeton colombiano, trap latino, urbano latino",0.783,0.758,0.943,174.029,-2.74,161379,10,1
31ujNhkOr1z6kfv7B1MhHo,Tra,Soto Asa,44,2018-10-05,urbano espanol,0.77,0.729,0.59,169.934,-6.429,171169,1,1
0glj70T9fN3kyJzYmTKzy1,Duro De Verdad pt.2,Los Sufridos,76,2024-09-12,,0.74,0.738,0.908,158.026,-6.495,204304,4,0
