id,song_name,artist_name,popularity,release_date,genres,danceability,energy,valence,tempo,loudness,duration_ms,key,mode,genre_list,user,rating
1uAGwsFrgLgjBzp5F5bO3a,Cuando Te Beso (with ROSALÍA) - En Directo,Niña Pastori,36,2018-11-09,"{373: 'flamenco', 193: 'pop flamenco', 199: 'rumba', 111: 'spanish pop'}",0.568,0.937,0.409,173.964,-3.828,197762,4,0,"['flamenco', 'pop flamenco', 'rumba', 'spanish pop']",1,4.1
4w47S36wQGBhGg073q3nt7,TKN (feat. Travis Scott),ROSALÍA,67,2020-05-28,"{9: 'pop', 162: 'r&b en espanol'}",0.776,0.509,0.485,94.634,-6.266,129371,0,0,"['pop', 'r&b en espanol']",1,4.6
7h0d2h0fUmzbs7zeFigJPn,HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX,Travis Scott,61,2019-12-27,"{3: 'rap', 374: 'slap house'}",0.559,0.491,0.114,153.131,-6.406,244874,2,0,"['rap', 'slap house']",1,3.6
3onYsieuDICdVt5ULZSExF,Barefoot In The Park (feat. ROSALÍA),James Blake,54,2019-01-18,"{62: 'art pop', 285: 'indie soul', 106: 'indietronica', 315: 'uk alternative pop'}",0.558,0.632,0.519,161.764,-8.339,211200,9,0,"['art pop', 'indie soul', 'indietronica', 'uk alternative pop']",1,3.5
1annUblrvMjiWM5ab0lMNH,Catalina en Gran Vía,Raül Refree,42,2018-10-01,{375: 'euskal musica'},0.376,0.404,0.196,121.606,-8.229,57587,6,0,['euskal musica'],1,3.3
0ymNUxAk6mSlC1Nuz0JxSH,Con la Peña,Cálido Lehamo,16,2017-10-26,{376: 'rap underground espanol'},0.396,0.329,0.331,124.651,-13.253,183078,7,0,['rap underground espanol'],1,2.2
7i7Jmgkinq6WgFJF8QLs3v,Chana,Kejaleo,3,2013-05-07,{55: 'unknown'},0.701,0.889,0.842,114.033,-6.822,251306,7,0,['unknown'],1,3.6
35UUpTmrcFXNIVIN26ujXl,Relación - Remix,Sech,65,2020-09-04,"{181: 'panamanian pop', 174: 'reggaeton', 175: 'trap latino', 176: 'urbano latino'}",0.793,0.771,0.835,171.943,-3.417,247308,5,1,"['panamanian pop', 'reggaeton', 'trap latino', 'urbano latino']",1,3.6
7MXgrcOQAJ5VwSNUL0lDd3,Blinding Lights (with ROSALÍA) - Remix,The Weeknd,51,2020-12-04,"{27: 'canadian contemporary r&b', 121: 'canadian pop', 9: 'pop'}",0.49,0.694,0.249,170.903,-5.793,216123,5,0,"['canadian contemporary r&b', 'canadian pop', 'pop']",1,2.1
2XIc1pqjXV3Cr2BQUGNBck,LA NOCHE DE ANOCHE,Bad Bunny,74,2020-11-27,"{174: 'reggaeton', 175: 'trap latino', 176: 'urbano latino'}",0.856,0.618,0.391,81.993,-4.892,203201,7,1,"['reggaeton', 'trap latino', 'urbano latino']",1,4.0
