id,song_name,artist_name,popularity,release_date,genres,danceability,energy,valence,tempo,loudness,duration_ms,key,mode
0sdbFOyfgAhAhWq8DpzkaW,the light is coming (feat. Nicki Minaj),Ariana Grande,56,2018-08-17,pop,0.877,0.547,0.687,99.034,-5.705,228373,7,1
1xWH8zYtDeS9mW1JJG23VZ,R.E.M,Ariana Grande,62,2018-08-17,pop,0.831,0.485,0.622,80.022,-6.677,245667,10,0
5OCJzvD7sykQEKHH7qAC3C,God is a woman,Ariana Grande,74,2018-08-17,pop,0.602,0.658,0.268,145.031,-5.934,197547,1,1
70khXICDeTTxgYtw3EysKH,sweetener,Ariana Grande,63,2018-08-17,pop,0.721,0.459,0.46,119.914,-6.408,208493,4,1
5YeHLHDdQ4nKHk81XFWhCU,successful,Ariana Grande,61,2018-08-17,pop,0.847,0.603,0.735,114.045,-4.607,227387,0,0
0WdR2AyLW1Drd3OUdwezM0,everytime,Ariana Grande,70,2018-08-17,pop,0.71,0.614,0.658,148.152,-6.757,172107,10,0
4OafepJy2teCjYJbvFE60J,breathin,Ariana Grande,68,2018-08-17,pop,0.568,0.656,0.364,100.049,-5.413,198160,8,1
2qT1uLXPVPzGgFOx4jtEuo,no tears left to cry,Ariana Grande,74,2018-08-17,pop,0.699,0.713,0.354,121.993,-5.507,205920,9,0
4b7mLZQWsy0rLnrMtPA9fQ,borderline (feat. Missy Elliott),Ariana Grande,55,2018-08-17,pop,0.761,0.818,0.348,110.99,-5.238,177533,6,0
3NbTQ8ZbHU6MSEVUFAVCJ9,better off,Ariana Grande,61,2018-08-17,pop,0.597,0.524,0.0549,92.568,-7.247,171333,11,1
14kYOiFVPb7E7NfFbqhdln,goodnight n go,Ariana Grande,65,2018-08-17,pop,0.708,0.454,0.24,110.963,-7.07,189507,1,1
0XOnMqLQDO89iAg7dWWwnG,pete davidson,Ariana Grande,55,2018-08-17,pop,0.652,0.31,0.304,119.913,-10.212,73813,4,1
7u6DMPznGbpziuEgCE0JGQ,get well soon,Ariana Grande,56,2018-08-17,pop,0.604,0.449,0.528,100.355,-6.564,322027,9,0
4TZdeM7zelZGz6JPrXSEZ1,Moonlight,Ariana Grande,0,2016-05-20,pop,0.633,0.412,0.214,102.215,-7.339,202360,9,1
7l94dyN2hX9c6wWcZQuOGJ,Dangerous Woman,Ariana Grande,1,2016-05-20,pop,0.664,0.602,0.289,134.049,-5.369,235947,4,0
6f5TuB9WtbA1g49A4DcMQ4,Be Alright,Ariana Grande,0,2016-05-20,pop,0.813,0.456,0.587,108.801,-7.667,179293,1,0
2meEiZKWkiN28gITzFwQo5,Into You,Ariana Grande,19,2016-05-20,pop,0.623,0.734,0.37,107.853,-5.948,244453,9,1
1pKeFVVUOPjFsOABub0OaV,Side To Side,Ariana Grande,2,2016-05-20,pop,0.65,0.736,0.613,159.173,-5.84,226160,6,0
5AKlnLpP3WLwZseNbjquND,Let Me Love You,Ariana Grande,0,2016-05-20,pop,0.527,0.435,0.0781,102.698,-8.363,223853,2,1
2tpIAmAq9orm1Owh5pja1w,Greedy,Ariana Grande,0,2016-05-20,pop,0.619,0.705,0.844,109.975,-5.335,214907,1,1
0zXXqCxifU2u8jfW2r4POb,Leave Me Lonely,Ariana Grande,0,2016-05-20,pop,0.445,0.446,0.389,90.927,-7.468,229680,8,0
6yL2kTsdVwYnGwPkKGtMd5,Everyday,Ariana Grande,0,2016-05-20,pop,0.637,0.733,0.431,131.004,-4.413,194840,7,0
1FlYPPzFJUNh3KRE36pYbe,Sometimes,Ariana Grande,0,2016-05-20,pop,0.397,0.666,0.568,77.915,-5.383,226667,1,0
6j4w8O8gEseBUZTOo8vYMK,I Don't Care,Ariana Grande,0,2016-05-20,pop,0.591,0.403,0.288,111.934,-8.284,178027,0,1
1j0Rb762xxT0eccglHKsRv,Bad Decisions,Ariana Grande,0,2016-05-20,pop,0.698,0.645,0.788,131.948,-5.368,226427,4,0
7MGRcJy1saXKiphwqJBnRb,Touch It,Ariana Grande,0,2016-05-20,pop,0.536,0.694,0.291,100.906,-4.369,260000,7,0
2SUQGI9ztmp0PQd1J8SVHx,Knew Better / Forever Boy,Ariana Grande,0,2016-05-20,pop,0.484,0.381,0.372,106.65,-6.705,299213,6,1
6iOhd5wNnvvwGDEuNILvM5,Thinking Bout You,Ariana Grande,0,2016-05-20,pop,0.507,0.696,0.406,102.983,-6.027,200400,11,1
3K1y89UHuAEZbpiSPbtAae,Step On Up,Ariana Grande,56,2016-05-20,pop,0.662,0.877,0.545,110.905,-4.185,180853,5,0
3We8H9cfhS7x4hdwBn9vXW,Jason's Song (Gave It Away),Ariana Grande,40,2016-09-16,pop,0.655,0.662,0.581,106.0,-4.336,264613,7,0
5SFVZUBkSjXookoHpCYBop,Into You - Alex Ghenea Remix,Ariana Grande,43,2016-08-19,pop,0.637,0.615,0.126,120.003,-5.363,218160,9,1
1cdzfFjEbUbgTm5nv3FgXR,Focus,Ariana Grande,62,2015-10-30,pop,0.671,0.876,0.8,100.016,-6.034,211360,6,1
0qMNPhpRzbghJy6G3SgRag,Intro,Ariana Grande,49,2014-08-22,pop,0.447,0.182,0.0959,89.601,-12.439,79840,6,1
7vS3Y0IKjde7Xg85LWIEdP,Problem,Ariana Grande,75,2014-08-22,pop,0.66,0.805,0.625,103.021,-5.352,193920,1,0
7xoUc6faLbCqZO6fQEYprd,One Last Time,Ariana Grande,81,2014-08-22,pop,0.628,0.593,0.104,125.025,-5.036,197267,8,1
40fHWRL8bKcl5J4t4OKUiW,Why Try,Ariana Grande,56,2014-08-22,pop,0.444,0.663,0.338,159.839,-5.946,211880,11,1
12KUFSHFgT0XCoiSlvdQi4,Break Free,Ariana Grande,75,2014-08-22,pop,0.686,0.702,0.29,129.948,-5.325,214840,7,0
70yhaHLp9STtzI2Kzba6Tr,Best Mistake,Ariana Grande,63,2014-08-22,pop,0.654,0.578,0.233,143.866,-6.897,233733,6,1
0fonaf88IEDQM309zmU80L,Be My Baby,Ariana Grande,63,2014-08-22,pop,0.622,0.586,0.434,145.081,-6.241,217053,3,0
0HGcQDbRen8luCnwH53sNl,Break Your Heart Right Back,Ariana Grande,53,2014-08-22,pop,0.725,0.605,0.587,93.935,-5.673,253387,6,1
5J4ZkQpzMUFojo1CtAZYpn,Love Me Harder,Ariana Grande,78,2014-08-22,pop,0.486,0.712,0.244,99.128,-4.388,236133,1,0
5lvnGiTAH9BVlJLHc0DXZz,Just A Little Bit Of Your Heart,Ariana Grande,58,2014-08-22,pop,0.44,0.323,0.158,77.986,-5.957,232587,9,1
1rNop31kdDmSj3Ds6xhIeS,Hands On Me,Ariana Grande,52,2014-08-22,pop,0.662,0.766,0.377,97.958,-5.694,192227,7,1
4eumFsTnduH3zRfaASoAPs,My Everything,Ariana Grande,62,2014-08-22,pop,0.462,0.265,0.419,106.357,-5.307,168520,11,1
6LQzYkmd8ADbKOOEVDnlG4,Only 1,Ariana Grande,54,2014-08-22,pop,0.648,0.842,0.383,101.367,-5.714,193987,0,1
3hgl7EQwTutSm6PESsB7gZ,You Don't Know Me,Ariana Grande,49,2014-08-22,pop,0.381,0.631,0.37,170.187,-5.886,233720,0,1
5SmXEPnevlRjBPWBG7oKIi,Honeymoon Avenue,Ariana Grande,63,2013-01-01,pop,0.692,0.608,0.448,125.005,-5.233,339733,8,0
6NmCCgnQcxKHPOAKgd9Nth,Baby I,Ariana Grande,58,2013-01-01,pop,0.724,0.796,0.542,101.975,-3.686,197600,1,1
47rzxY9wSpomHE1gT94jIT,Right There,Ariana Grande,57,2013-01-01,pop,0.621,0.834,0.561,156.099,-3.166,247080,7,1
7JmIjOsRish3vYBSLTytEC,Tattooed Heart,Ariana Grande,59,2013-01-01,pop,0.535,0.519,0.32,72.06,-4.161,194707,7,1
0CN72fWya38TPEQzrsr27w,Lovin' It,Ariana Grande,45,2013-01-01,pop,0.624,0.825,0.428,93.996,-3.841,180693,6,0
1FSfCzJd8aSQ0nqTSbN4PO,Piano,Ariana Grande,50,2013-01-01,pop,0.738,0.804,0.725,120.017,-4.286,234427,1,0
2CcQDI2IDhHbmBIFup58JE,Daydreamin',Ariana Grande,66,2013-01-01,pop,0.675,0.648,0.322,114.051,-6.003,211293,7,1
0S4RKPbRDA72tvKwVdXQqe,The Way,Ariana Grande,65,2013-01-01,pop,0.645,0.878,0.862,82.324,-3.208,227027,5,0
6d8XhbAw4IoKPnVD07Sb9b,You’ll Never Know,Ariana Grande,49,2013-01-01,pop,0.764,0.842,0.869,105.015,-3.835,214280,6,1
442j8VxaB60dWf9cBFuX5w,Almost Is Never Enough,Ariana Grande,65,2013-01-01,pop,0.324,0.327,0.334,81.328,-7.494,327773,2,1
6AviHKu3ydzAePBmzEi62v,Popular Song,MIKA,54,2013-01-01,electropop,0.666,0.81,0.811,99.023,-4.574,200213,8,1
0vyQdRbRJRRY8GGuM8eVVI,Better Left Unsaid,Ariana Grande,45,2013-01-01,pop,0.594,0.83,0.283,129.998,-4.024,211227,9,1
6tsOcBnaKgzK22yEiqRh8P,MONOPOLY (with Victoria Monét),Ariana Grande,58,2019-04-01,pop,0.893,0.507,0.695,143.969,-8.282,158587,0,1
2yueE1lZ8V8HX1deAFA5MF,Somewhere Over The Rainbow - Live From Manchester,Ariana Grande,40,2017-06-06,pop,0.333,0.328,0.0743,121.109,-9.39,272027,0,1
35U6NyVIlRIdNiNBd7Hz6G,Arturo Sandoval,Arturo Sandoval,30,2018-05-04,"jazz cubano, jazz trumpet, latin jazz",0.648,0.708,0.595,164.006,-7.101,211587,4,0
2NjO87HyT80fsgejd3PLYW,Dance To This (feat. Ariana Grande),Troye Sivan,64,2018-08-31,"australian pop, pop, viral pop",0.736,0.756,0.712,117.015,-7.099,231847,11,1
4rwqrKdwlFWJ6LvPYaOtgn,Quit (feat. Ariana Grande),Cashmere Cat,61,2017-04-28,"downtempo, electropop, shiver pop",0.44,0.413,0.141,86.911,-7.365,258188,0,0
3L4GsGLgxpHieVQH86H8bv,Bed (feat. Ariana Grande),Nicki Minaj,60,2018-08-10,"hip pop, pop, queens hip hop, rap",0.757,0.73,0.452,90.013,-6.304,189533,7,1
2UWdzm5eaYdttoLgCbJbtZ,Faith,Stevie Wonder,48,2016-12-09,"motown, soul",0.734,0.87,0.945,158.128,-4.16,162720,1,1
34HwOOG2tTiz6tAN9h83YT,Adore,Cashmere Cat,51,2015-02-24,"downtempo, electropop, shiver pop",0.334,0.622,0.21,139.546,-5.611,216000,5,0
